PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
1,0,2,"Braund, Mr. Owen Harris",-0.5657364610748746,1,0,A/5 21171,-0.5024451714361923,,1.0,0.0,1.0
2,1,0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0.6638610320657843,1,0,PC 17599,0.7868452935884461,C85,0.0,0.0,0.0
3,1,2,"Heikkinen, Miss. Laina",-0.2583370877897099,0,0,STON/O2. 3101282,-0.4888542575852486,,0.0,0.0,1.0
4,1,0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0.4333115021019107,1,0,113803,0.4207302360686478,C123,0.0,0.0,1.0
5,0,2,"Allen, Mr. William Henry",0.4333115021019107,0,0,373450,-0.4863374216869257,,1.0,0.0,1.0
6,0,2,"Moran, Mr. James",-0.10463740114712752,0,0,330877,-0.47811642890864375,,1.0,1.0,0.0
7,0,0,"McCarthy, Mr. Timothy J",1.893458525206443,0,0,17463,0.395813560675251,E46,1.0,0.0,1.0
8,0,2,"Palsson, Master. Gosta Leonard",-2.1027333275006983,3,1,349909,-0.22408312108167944,,1.0,0.0,1.0
9,1,2,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",-0.1814872444684187,0,2,347742,-0.4242561406845337,,0.0,0.0,1.0
10,1,1,"Nasser, Mrs. Nicholas (Adele Achem)",-1.180535207645204,1,0,237736,-0.04295550208861426,,0.0,0.0,0.0
11,1,2,"Sandstrom, Miss. Marguerite Rut",-1.949033640858116,1,1,PP 9549,-0.312172377522981,G6,0.0,0.0,1.0
12,1,0,"Bonnell, Miss. Elizabeth",2.200857898491608,0,0,113783,-0.11384570873513637,C103,0.0,0.0,1.0
13,0,2,"Saundercock, Mr. William Henry",-0.719436147717457,0,0,A/5. 2151,-0.4863374216869257,,1.0,0.0,1.0
14,0,2,"Andersson, Mr. Anders Johan",0.7407108753870755,1,5,347082,-0.01870931177853076,,1.0,0.0,1.0
15,0,2,"Vestrom, Miss. Hulda Amanda Adolfina",-1.180535207645204,0,0,350406,-0.4902797934380587,,0.0,0.0,1.0
16,1,1,"Hewlett, Mrs. (Mary D Kingcome) ",1.9703083685277343,0,0,248706,-0.3262666585535892,,0.0,0.0,1.0
17,0,2,"Rice, Master. Eugene",-2.1027333275006983,4,1,382652,-0.06199888922968463,,1.0,1.0,0.0
18,1,1,"Williams, Mr. Charles Eugene",-0.10463740114712752,0,0,244373,-0.3866707201133388,,1.0,0.0,1.0
19,0,2,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0.12591212881674602,1,0,345763,-0.2859972841804228,,0.0,0.0,1.0
20,1,2,"Masselmani, Mrs. Fatima",-0.10463740114712752,0,0,2649,-0.5029485386158568,,0.0,0.0,0.0
21,0,1,"Fynney, Mr. Joseph J",0.4333115021019107,0,0,239865,-0.12491978668775715,,1.0,0.0,1.0
22,1,1,"Beesley, Mr. Lawrence",0.35646165878061953,0,0,248698,-0.3866707201133388,D56,1.0,0.0,1.0
23,1,2,"McGowan, Miss. Anna ""Annie""",-1.1036853643239128,0,0,330923,-0.4867562231804066,,0.0,1.0,0.0
24,1,0,"Sloper, Mr. William Thompson",-0.10463740114712752,0,0,113788,0.06635974158478332,A6,1.0,0.0,1.0
25,0,2,"Palsson, Miss. Torborg Danira",-1.6416342675729512,3,1,349909,-0.22408312108167944,,0.0,0.0,1.0
26,1,2,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0.6638610320657843,1,5,347077,-0.016444159470040135,,0.0,0.0,1.0
27,0,2,"Emir, Mr. Farred Chehab",-0.10463740114712752,0,0,2631,-0.5029485386158568,,1.0,0.0,0.0
28,0,0,"Fortune, Mr. Charles Alexander",-0.7962859910387481,3,2,19950,4.647001076532463,C23 C25 C27,1.0,0.0,1.0
29,1,2,"O'Dwyer, Miss. Ellen ""Nellie""",-0.10463740114712752,0,0,330959,-0.48977642625839407,,0.0,1.0,0.0
30,0,2,"Todoroff, Mr. Lalio",-0.10463740114712752,0,0,349216,-0.4894421904510968,,1.0,0.0,1.0
31,0,0,"Uruchurtu, Don. Manuel E",0.8175607187083667,0,0,PC 17601,-0.09027201697708476,,1.0,0.0,0.0
32,1,0,"Spencer, Mrs. William Augustus (Marie Eugenie)",-0.10463740114712752,1,0,PC 17569,2.301728820789,B78,0.0,0.0,0.0
33,1,2,"Glynn, Miss. Mary Agatha",-0.10463740114712752,0,0,335677,-0.49237782784290063,,0.0,1.0,0.0
34,0,1,"Wheadon, Mr. Edward H",2.8156566450619374,0,0,C.A. 24579,-0.43700743807979686,,1.0,0.0,1.0
35,0,0,"Meyer, Mr. Edgar Joseph",-0.10463740114712752,1,0,PC 17604,1.0060617003323709,,1.0,0.0,0.0
36,0,0,"Holverson, Mr. Alexander Oskar",0.9712604053509489,1,0,113789,0.39858208016340624,,1.0,0.0,1.0
37,1,2,"Mamee, Mr. Hanna",-0.10463740114712752,0,0,2677,-0.5028639729296732,,1.0,0.0,0.0
38,0,2,"Cann, Mr. Ernest Charles",-0.6425863043961658,0,0,A./5. 2152,-0.4863374216869257,,1.0,0.0,1.0
39,0,2,"Vander Planke, Miss. Augusta Maria",-0.8731358343600393,2,0,345764,-0.2859972841804228,,0.0,0.0,1.0
40,1,2,"Nicola-Yarred, Miss. Jamila",-1.180535207645204,1,0,2651,-0.42207354059350805,,0.0,0.0,0.0
41,0,2,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0.8175607187083667,1,0,7546,-0.4576454924460446,,0.0,0.0,1.0
42,0,1,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",-0.1814872444684187,1,0,11668,-0.22559322262067316,,0.0,0.0,1.0
43,0,2,"Kraeff, Mr. Theodor",-0.10463740114712752,0,0,349253,-0.4894421904510968,,1.0,0.0,0.0
44,1,1,"Laroche, Miss. Simonne Marie Anne Andree",-2.025883484179407,1,2,SC/Paris 2123,0.18876253192945994,,0.0,0.0,0.0
45,1,2,"Devaney, Miss. Margaret Delia",-0.7962859910387481,0,0,330958,-0.48977642625839407,,0.0,1.0,0.0
46,0,2,"Rogers, Mr. William John",-0.10463740114712752,0,0,S.C./A.4. 23567,-0.4863374216869257,,1.0,0.0,1.0
47,0,2,"Lennon, Mr. Denis",-0.10463740114712752,1,0,370371,-0.3363340021468808,,1.0,1.0,0.0
48,1,2,"O'Driscoll, Miss. Bridget",-0.10463740114712752,0,0,14311,-0.49237782784290063,,0.0,1.0,0.0
49,0,2,"Samaan, Mr. Youssef",-0.10463740114712752,2,0,2662,-0.21191774308354583,,1.0,0.0,0.0
50,0,2,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",-0.8731358343600393,1,0,349237,-0.29002422161773944,,0.0,0.0,1.0
51,0,2,"Panula, Master. Juha Niilo",-1.7184841108942424,4,1,3101295,0.1506737441786005,,1.0,0.0,1.0
52,0,2,"Nosworthy, Mr. Richard Cater",-0.6425863043961658,0,0,A/4. 39886,-0.4913710934835715,,1.0,0.0,1.0
53,1,0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1.5092093085999871,1,0,PC 17572,0.8964967865378598,D33,0.0,0.0,0.0
54,1,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",-0.027787557825836348,1,0,2926,-0.12491978668775715,,0.0,0.0,1.0
55,0,0,"Ostby, Mr. Engelhart Cornelius",2.738806801740646,0,1,113509,0.5995101505357573,B30,1.0,0.0,0.0
56,1,0,"Woolner, Mr. Hugh",-0.10463740114712752,0,0,19947,0.06635974158478332,C52,1.0,0.0,1.0
57,1,1,"Rugg, Miss. Emily",-0.6425863043961658,0,0,C.A. 31026,-0.43700743807979686,,0.0,0.0,1.0
58,0,2,"Novel, Mr. Mansouer",-0.06621247948648194,0,0,2697,-0.5028639729296732,,1.0,0.0,0.0
59,1,1,"West, Miss. Constance Mirium",-1.8721837975368247,1,2,C.A. 34651,-0.08968408411123653,,0.0,0.0,1.0
60,0,2,"Goodwin, Master. William Frederick",-1.4110847376090776,5,2,CA 2144,0.2958951755118318,,1.0,0.0,1.0
61,0,2,"Sirayanian, Mr. Orsen",-0.5657364610748746,0,0,2669,-0.5028639729296732,,1.0,0.0,0.0
62,1,0,"Icard, Miss. Amelie",0.6638610320657843,0,0,113572,0.962353321387736,B28,0.0,0.0,1.0
63,0,0,"Harris, Mr. Henry Birkhardt",1.2018099353148226,1,0,36973,1.0323213593611125,C83,1.0,0.0,1.0
64,0,2,"Skoog, Master. Harald",-1.949033640858116,3,2,347088,-0.08666388103324908,,1.0,0.0,1.0
65,0,0,"Stewart, Mr. Albert A",-0.10463740114712752,0,0,PC 17605,-0.09027201697708476,,1.0,0.0,0.0
66,1,2,"Moubarek, Master. Gerios",-0.10463740114712752,1,1,2661,-0.3414522396297103,,1.0,0.0,0.0
67,1,1,"Nye, Mrs. (Elizabeth Ramell)",-0.027787557825836348,0,0,C.A. 29395,-0.43700743807979686,F33,0.0,0.0,1.0
68,0,2,"Crease, Mr. Ernest James",-0.7962859910387481,0,0,S.P. 3464,-0.4841568350646187,,1.0,0.0,1.0
69,1,2,"Andersson, Miss. Erna Alexandra",-0.9499856776813305,4,2,3101281,-0.4888542575852486,,0.0,0.0,1.0
70,0,2,"Kink, Mr. Vincenz",-0.2583370877897099,2,0,315151,-0.47400492578514347,,1.0,0.0,1.0
71,0,1,"Jenkin, Mr. Stephen Curnow",0.20276197213803718,0,0,C.A. 33111,-0.43700743807979686,,1.0,0.0,1.0
72,0,2,"Goodwin, Miss. Lillian Amy",-1.0268355210026217,5,2,CA 2144,0.2958951755118318,,0.0,0.0,1.0
73,0,1,"Hood, Mr. Ambrose Jr",-0.6425863043961658,0,0,S.O.C. 14879,0.8314778546749452,,1.0,0.0,1.0
74,0,2,"Chronopoulos, Mr. Apostolos",-0.2583370877897099,1,0,2680,-0.3573908580066095,,1.0,0.0,0.0
75,1,2,"Bing, Mr. Lee",0.20276197213803718,0,0,1601,0.48910360681684706,,1.0,0.0,1.0
76,0,2,"Moen, Mr. Sigurd Hansen",-0.33518693111100106,0,0,348123,-0.494391296561559,F G73,1.0,0.0,1.0
77,0,2,"Staneff, Mr. Ivan",-0.10463740114712752,0,0,349208,-0.4894421904510968,,1.0,0.0,1.0
78,0,2,"Moutal, Mr. Rahamin Haim",-0.10463740114712752,0,0,374746,-0.4863374216869257,,1.0,0.0,1.0
79,1,1,"Caldwell, Master. Alden Gates",-2.192647644186609,0,2,248738,-0.06451572512800753,,1.0,0.0,1.0
80,1,2,"Dowdell, Miss. Elizabeth",0.04906228549545483,0,0,364516,-0.397241430886295,,0.0,0.0,1.0
81,0,2,"Waelens, Mr. Achille",-0.5657364610748746,0,0,345767,-0.46720946885967163,,1.0,0.0,1.0
82,1,2,"Sheerlinck, Mr. Jan Baptist",-0.027787557825836348,0,0,345779,-0.45714212526638004,,1.0,0.0,1.0
83,1,2,"McDermott, Miss. Brigdet Delia",-0.10463740114712752,0,0,330932,-0.49162277707340374,,0.0,1.0,0.0
84,0,0,"Carrau, Mr. Francisco M",-0.10463740114712752,0,0,113059,0.29992211294914856,,1.0,0.0,1.0
85,1,1,"Ilett, Miss. Bertha",-0.9499856776813305,0,0,SO/C 14885,-0.43700743807979686,,0.0,0.0,1.0
