PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
1,0,2,"Braund, Mr. Owen Harris",-0.5283212965120344,1,0,A/5 21171,-0.7791170658826716,,1.0,0.0,1.0
3,1,2,"Heikkinen, Miss. Laina",-0.21518215035509997,0,0,STON/O2. 3101282,-0.7293725041008279,,0.0,0.0,1.0
4,1,0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0.4893809284980025,1,0,113803,2.5998283529284842,C123,0.0,0.0,1.0
5,0,2,"Allen, Mr. William Henry",0.4893809284980025,0,0,373450,-0.7201605482153013,,1.0,0.0,1.0
6,0,2,"Moran, Mr. James",-0.058612577276632744,0,0,330877,-0.6900706155108173,,1.0,1.0,0.0
7,0,0,"McCarthy, Mr. Timothy J",1.976791872743441,0,0,17463,2.5086299896617703,E46,1.0,0.0,1.0
8,0,2,"Palsson, Master. Gosta Leonard",-2.0940170272967067,3,1,349909,0.23972525505656994,,1.0,0.0,1.0
9,1,2,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",-0.13689736381586634,0,2,347742,-0.4929347595605481,,0.0,0.0,1.0
10,1,1,"Nasser, Mrs. Nicholas (Adele Achem)",-1.1545995888259033,1,0,237736,0.9026765570967311,,0.0,0.0,0.0
11,1,2,"Sandstrom, Miss. Marguerite Rut",-1.9374474542182394,1,1,PP 9549,-0.08269320093686093,G6,0.0,0.0,1.0
12,1,0,"Bonnell, Miss. Elizabeth",2.2899310189003756,0,0,113783,0.643208922842635,C103,0.0,0.0,1.0
13,0,2,"Saundercock, Mr. William Henry",-0.6848908695905016,0,0,A/5. 2151,-0.7201605482153013,,1.0,0.0,1.0
14,0,2,"Andersson, Mr. Anders Johan",0.802520074654937,1,5,347082,0.9914208553155401,,1.0,0.0,1.0
15,0,2,"Vestrom, Miss. Hulda Amanda Adolfina",-1.1545995888259033,0,0,350406,-0.7345901559143904,,0.0,0.0,1.0
16,1,1,"Hewlett, Mrs. (Mary D Kingcome) ",2.055076659282675,0,0,248706,-0.13428015389580983,,0.0,0.0,1.0
17,0,2,"Rice, Master. Eugene",-2.0940170272967067,4,1,382652,0.8329752140844828,,1.0,1.0,0.0
18,1,1,"Williams, Mr. Charles Eugene",-0.058612577276632744,0,0,244373,-0.3553670951484481,,1.0,0.0,1.0
19,0,2,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0.1762417823410681,1,0,345763,0.013111140272615725,,0.0,0.0,1.0
20,1,2,"Masselmani, Mrs. Fatima",-0.058612577276632744,0,0,2649,-0.7809594570597769,,0.0,0.0,0.0
21,0,1,"Fynney, Mr. Joseph J",0.4893809284980025,0,0,239865,0.602676316946318,,1.0,0.0,1.0
22,1,1,"Beesley, Mr. Lawrence",0.4110961419587689,0,0,248698,-0.3553670951484481,D56,1.0,0.0,1.0
23,1,2,"McGowan, Miss. Anna ""Annie""",-1.0763148022866698,0,0,330923,-0.721693417674653,,0.0,1.0,0.0
24,1,0,"Sloper, Mr. William Thompson",-0.058612577276632744,0,0,113788,1.3027849642463392,A6,1.0,0.0,1.0
25,0,2,"Palsson, Miss. Torborg Danira",-1.624308308061305,3,1,349909,0.23972525505656994,,0.0,0.0,1.0
26,1,2,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0.7242352881157034,1,5,347077,0.9997116156125142,,0.0,0.0,1.0
27,0,2,"Emir, Mr. Farred Chehab",-0.058612577276632744,0,0,2631,-0.7809594570597769,,1.0,0.0,0.0
29,1,2,"O'Dwyer, Miss. Ellen ""Nellie""",-0.058612577276632744,0,0,330959,-0.7327477647372849,,0.0,1.0,0.0
30,0,2,"Todoroff, Mr. Lalio",-0.058612577276632744,0,0,349216,-0.7315244169956868,,1.0,0.0,1.0
31,0,0,"Uruchurtu, Don. Manuel E",0.8808048611941706,0,0,PC 17601,0.7294917864488313,,1.0,0.0,0.0
33,1,2,"Glynn, Miss. Mary Agatha",-0.058612577276632744,0,0,335677,-0.7422692423405652,,0.0,1.0,0.0
34,0,1,"Wheadon, Mr. Edward H",2.9162093112142444,0,0,C.A. 24579,-0.53960621285898,,1.0,0.0,1.0
36,0,0,"Holverson, Mr. Alexander Oskar",1.0373744342726379,1,0,113789,2.51876314113585,,1.0,0.0,1.0
37,1,2,"Mamee, Mr. Hanna",-0.058612577276632744,0,0,2677,-0.7806499353420233,,1.0,0.0,0.0
38,0,2,"Cann, Mr. Ernest Charles",-0.6066060830512681,0,0,A./5. 2152,-0.7201605482153013,,1.0,0.0,1.0
39,0,2,"Vander Planke, Miss. Augusta Maria",-0.8414604426689688,2,0,345764,0.013111140272615725,,0.0,0.0,1.0
40,1,2,"Nicola-Yarred, Miss. Jamila",-1.1545995888259033,1,0,2651,-0.48494615141661945,,0.0,0.0,0.0
41,0,2,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0.8808048611941706,1,0,7546,-0.6151442511202981,,0.0,0.0,1.0
42,0,1,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",-0.13689736381586634,1,0,11668,0.23419808152525404,,0.0,0.0,1.0
43,0,2,"Kraeff, Mr. Theodor",-0.058612577276632744,0,0,349253,-0.7315244169956868,,1.0,0.0,0.0
44,1,1,"Laroche, Miss. Simonne Marie Anne Andree",-2.015732240757473,1,2,SC/Paris 2123,1.7507955420006855,,0.0,0.0,0.0
45,1,2,"Devaney, Miss. Margaret Delia",-0.7631756561297353,0,0,330958,-0.7327477647372849,,0.0,1.0,0.0
46,0,2,"Rogers, Mr. William John",-0.058612577276632744,0,0,S.C./A.4. 23567,-0.7201605482153013,,1.0,0.0,1.0
47,0,2,"Lennon, Mr. Denis",-0.058612577276632744,1,0,370371,-0.17112797743791622,,1.0,1.0,0.0
48,1,2,"O'Driscoll, Miss. Bridget",-0.058612577276632744,0,0,14311,-0.7422692423405652,,0.0,1.0,0.0
49,0,2,"Samaan, Mr. Youssef",-0.058612577276632744,2,0,2662,0.28425216502485146,,1.0,0.0,0.0
50,0,2,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",-0.8414604426689688,1,0,349237,-0.001627989144226776,,0.0,0.0,1.0
51,0,2,"Panula, Master. Juha Niilo",-1.7025930946005385,4,1,3101295,1.6113854864114803,,1.0,0.0,1.0
52,0,2,"Nosworthy, Mr. Richard Cater",-0.6066060830512681,0,0,A/4. 39886,-0.7385844599863545,,1.0,0.0,1.0
54,1,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0.01967220926260087,1,0,2926,0.602676316946318,,0.0,0.0,1.0
55,0,0,"Ostby, Mr. Engelhart Cornelius",2.8379245246750107,0,1,113509,3.254186742518626,B30,1.0,0.0,0.0
56,1,0,"Woolner, Mr. Hugh",-0.058612577276632744,0,0,19947,1.3027849642463392,C52,1.0,0.0,1.0
57,1,1,"Rugg, Miss. Emily",-0.6066060830512681,0,0,C.A. 31026,-0.53960621285898,,0.0,0.0,1.0
58,0,2,"Novel, Mr. Mansouer",-0.019470184007015934,0,0,2697,-0.7806499353420233,,1.0,0.0,0.0
59,1,1,"West, Miss. Constance Mirium",-1.8591626676790058,1,2,C.A. 34651,0.7316436993436902,,0.0,0.0,1.0
60,0,2,"Goodwin, Master. William Frederick",-1.3894539484436041,5,2,CA 2144,2.142915341006365,,1.0,0.0,1.0
61,0,2,"Sirayanian, Mr. Orsen",-0.5283212965120344,0,0,2669,-0.7806499353420233,,1.0,0.0,0.0
64,0,2,"Skoog, Master. Harald",-1.9374474542182394,3,2,347088,0.7426980464063221,,1.0,0.0,1.0
65,0,0,"Stewart, Mr. Albert A",-0.058612577276632744,0,0,PC 17605,0.7294917864488313,,1.0,0.0,0.0
66,1,2,"Moubarek, Master. Gerios",-0.058612577276632744,1,1,2661,-0.18986141092672315,,1.0,0.0,0.0
67,1,1,"Nye, Mrs. (Elizabeth Ramell)",0.01967220926260087,0,0,C.A. 29395,-0.53960621285898,F33,0.0,0.0,1.0
68,0,2,"Crease, Mr. Ernest James",-0.7631756561297353,0,0,S.P. 3464,-0.7121793096360811,,1.0,0.0,1.0
69,1,2,"Andersson, Miss. Erna Alexandra",-0.9197452292082025,4,2,3101281,-0.7293725041008279,,0.0,0.0,1.0
70,0,2,"Kink, Mr. Vincenz",-0.21518215035509997,2,0,315151,-0.6750219643762211,,1.0,0.0,1.0
71,0,1,"Jenkin, Mr. Stephen Curnow",0.25452656888030173,0,0,C.A. 33111,-0.53960621285898,,1.0,0.0,1.0
72,0,2,"Goodwin, Miss. Lillian Amy",-0.9980300157474361,5,2,CA 2144,2.142915341006365,,0.0,0.0,1.0
74,0,2,"Chronopoulos, Mr. Apostolos",-0.21518215035509997,1,0,2680,-0.2481988851585859,,1.0,0.0,0.0
75,1,2,"Bing, Mr. Lee",0.25452656888030173,0,0,1601,2.850084031297054,,1.0,0.0,1.0
76,0,2,"Moen, Mr. Sigurd Hansen",-0.29346693689433356,0,0,348123,-0.7496388070489864,F G73,1.0,0.0,1.0
77,0,2,"Staneff, Mr. Ivan",-0.058612577276632744,0,0,349208,-0.7315244169956868,,1.0,0.0,1.0
78,0,2,"Moutal, Mr. Rahamin Haim",-0.058612577276632744,0,0,374746,-0.7201605482153013,,1.0,0.0,1.0
79,1,1,"Caldwell, Master. Alden Gates",-2.18561022754761,0,2,248738,0.8237632581989562,,1.0,0.0,1.0
80,1,2,"Dowdell, Miss. Elizabeth",0.09795699580183448,0,0,364516,-0.39405730986765986,,0.0,0.0,1.0
81,0,2,"Waelens, Mr. Achille",-0.5283212965120344,0,0,345767,-0.6501496834852992,,1.0,0.0,1.0
82,1,2,"Sheerlinck, Mr. Jan Baptist",0.01967220926260087,0,0,345779,-0.6133018599431929,,1.0,0.0,1.0
83,1,2,"McDermott, Miss. Brigdet Delia",-0.058612577276632744,0,0,330932,-0.7395056555749072,,0.0,1.0,0.0
84,0,0,"Carrau, Mr. Francisco M",-0.058612577276632744,0,0,113059,2.1576544704232075,,1.0,0.0,1.0
85,1,1,"Ilett, Miss. Bertha",-0.9197452292082025,0,0,SO/C 14885,-0.53960621285898,,0.0,0.0,1.0
86,1,2,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0.3328113554195353,3,0,3101278,-0.14533450095844175,,0.0,0.0,1.0
87,0,2,"Ford, Mr. William Neal",-0.9980300157474361,1,3,W./C. 6608,1.2198773612765998,,1.0,0.0,1.0
88,0,2,"Slocovski, Mr. Selman Francis",-0.058612577276632744,0,0,SOTON/OQ 392086,-0.7201605482153013,,1.0,0.0,1.0
90,0,2,"Celotti, Mr. Francesco",-0.37175172343356716,0,0,343275,-0.7201605482153013,,1.0,0.0,1.0
91,0,2,"Christmann, Mr. Emil",0.01967220926260087,0,0,343276,-0.7201605482153013,,1.0,0.0,1.0
92,0,2,"Andreasson, Mr. Paul Edvin",-0.6848908695905016,0,0,347466,-0.7345901559143904,,1.0,0.0,1.0
93,0,0,"Chaffee, Mr. Herbert Fuller",1.3505135804295723,1,0,W.E.P. 5734,3.194920703133502,E31,1.0,0.0,1.0
94,0,2,"Dean, Mr. Bertram Frank",-0.21518215035509997,1,2,C.A. 2315,0.20287743151446355,,1.0,0.0,1.0
95,0,2,"Coxon, Mr. Daniel",2.3682158054396094,0,0,364500,-0.7791170658826716,,1.0,0.0,1.0
96,0,2,"Shorney, Mr. Charles Joseph",-0.058612577276632744,0,0,374910,-0.7201605482153013,,1.0,0.0,1.0
97,0,0,"Goldschmidt, Mr. George B",3.3076332439104124,0,0,PC 17754,1.2404531859425123,A5,1.0,0.0,0.0
