PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,0.8273772438659699,"Braund, Mr. Owen Harris",male,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,A/5 21171,-0.5024451714361923,,S
2,1,-1.5661069258891576,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.571830994003175,0.4327933656785018,-0.4736736092984604,PC 17599,0.7868452935884461,C85,C
3,1,0.8273772438659699,"Heikkinen, Miss. Laina",female,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,STON/O2. 3101282,-0.4888542575852486,,S
4,1,-1.5661069258891576,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.36516706249935255,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,C123,S
5,0,0.8273772438659699,"Allen, Mr. William Henry",male,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,373450,-0.4863374216869257,,S
6,0,0.8273772438659699,"Moran, Mr. James",male,,-0.47454519624983954,-0.4736736092984604,330877,-0.47811642890864375,,Q
7,0,-1.5661069258891576,"McCarthy, Mr. Timothy J",male,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,17463,0.395813560675251,E46,S
8,0,0.8273772438659699,"Palsson, Master. Gosta Leonard",male,-1.9081361840426954,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,,S
9,1,0.8273772438659699,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,347742,-0.4242561406845337,,S
10,1,-0.3693648410115938,"Nasser, Mrs. Nicholas (Adele Achem)",female,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,,C
11,1,0.8273772438659699,"Sandstrom, Miss. Marguerite Rut",female,-1.7703602297068137,0.4327933656785018,0.7676298785983874,PP 9549,-0.312172377522981,G6,S
12,1,-1.5661069258891576,"Bonnell, Miss. Elizabeth",female,1.949590537361992,-0.47454519624983954,-0.4736736092984604,113783,-0.11384570873513637,C103,S
13,0,0.8273772438659699,"Saundercock, Mr. William Henry",male,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,A/5. 2151,-0.4863374216869257,,S
14,0,0.8273772438659699,"Andersson, Mr. Anders Johan",male,0.6407189711711159,0.4327933656785018,5.73284383018578,347082,-0.01870931177853076,,S
15,0,0.8273772438659699,"Vestrom, Miss. Hulda Amanda Adolfina",female,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,350406,-0.4902797934380587,,S
16,1,-0.3693648410115938,"Hewlett, Mrs. (Mary D Kingcome) ",female,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,248706,-0.3262666585535892,,S
17,0,0.8273772438659699,"Rice, Master. Eugene",male,-1.9081361840426954,3.1548090514635256,0.7676298785983874,382652,-0.06199888922968463,,Q
18,1,-0.3693648410115938,"Williams, Mr. Charles Eugene",male,,-0.47454519624983954,-0.4736736092984604,244373,-0.3866707201133388,,S
19,0,0.8273772438659699,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.08961515382758917,0.4327933656785018,-0.4736736092984604,345763,-0.2859972841804228,,S
20,1,0.8273772438659699,"Masselmani, Mrs. Fatima",female,,-0.47454519624983954,-0.4736736092984604,2649,-0.5029485386158568,,C
21,0,-0.3693648410115938,"Fynney, Mr. Joseph J",male,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,239865,-0.12491978668775715,,S
22,1,-0.3693648410115938,"Beesley, Mr. Lawrence",male,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,248698,-0.3866707201133388,D56,S
23,1,0.8273772438659699,"McGowan, Miss. Anna ""Annie""",female,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,330923,-0.4867562231804066,,Q
24,1,-1.5661069258891576,"Sloper, Mr. William Thompson",male,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,113788,0.06635974158478332,A6,S
25,0,0.8273772438659699,"Palsson, Miss. Torborg Danira",female,-1.4948083210350502,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,,S
26,1,0.8273772438659699,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.571830994003175,0.4327933656785018,5.73284383018578,347077,-0.016444159470040135,,S
27,0,0.8273772438659699,"Emir, Mr. Farred Chehab",male,,-0.47454519624983954,-0.4736736092984604,2631,-0.5029485386158568,,C
28,0,-1.5661069258891576,"Fortune, Mr. Charles Alexander",male,-0.7370405721877009,2.2474704895351842,2.0089333664952354,19950,4.647001076532463,C23 C25 C27,S
29,1,0.8273772438659699,"O'Dwyer, Miss. Ellen ""Nellie""",female,,-0.47454519624983954,-0.4736736092984604,330959,-0.48977642625839407,,Q
30,0,0.8273772438659699,"Todoroff, Mr. Lalio",male,,-0.47454519624983954,-0.4736736092984604,349216,-0.4894421904510968,,S
31,0,-1.5661069258891576,"Uruchurtu, Don. Manuel E",male,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,PC 17601,-0.09027201697708476,,C
32,1,-1.5661069258891576,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,0.4327933656785018,-0.4736736092984604,PC 17569,2.301728820789,B78,C
33,1,0.8273772438659699,"Glynn, Miss. Mary Agatha",female,,-0.47454519624983954,-0.4736736092984604,335677,-0.49237782784290063,,Q
34,0,-0.3693648410115938,"Wheadon, Mr. Edward H",male,2.500694354705519,-0.47454519624983954,-0.4736736092984604,C.A. 24579,-0.43700743807979686,,S
35,0,-1.5661069258891576,"Meyer, Mr. Edgar Joseph",male,-0.11704877767623337,0.4327933656785018,-0.4736736092984604,PC 17604,1.0060617003323709,,C
36,0,-1.5661069258891576,"Holverson, Mr. Alexander Oskar",male,0.8473829026749384,0.4327933656785018,-0.4736736092984604,113789,0.39858208016340624,,S
37,1,0.8273772438659699,"Mamee, Mr. Hanna",male,,-0.47454519624983954,-0.4736736092984604,2677,-0.5028639729296732,,C
38,0,0.8273772438659699,"Cann, Mr. Ernest Charles",male,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,A./5. 2152,-0.4863374216869257,,S
39,0,0.8273772438659699,"Vander Planke, Miss. Augusta Maria",female,-0.8059285493556418,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,,S
40,1,0.8273772438659699,"Nicola-Yarred, Miss. Jamila",female,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,2651,-0.42207354059350805,,C
41,0,0.8273772438659699,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,0.7096069483390568,0.4327933656785018,-0.4736736092984604,7546,-0.4576454924460446,,S
42,0,-0.3693648410115938,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,11668,-0.22559322262067316,,S
43,0,0.8273772438659699,"Kraeff, Mr. Theodor",male,,-0.47454519624983954,-0.4736736092984604,349253,-0.4894421904510968,,C
44,1,-0.3693648410115938,"Laroche, Miss. Simonne Marie Anne Andree",female,-1.8392482068747544,0.4327933656785018,2.0089333664952354,SC/Paris 2123,0.18876253192945994,,C
45,1,0.8273772438659699,"Devaney, Miss. Margaret Delia",female,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,330958,-0.48977642625839407,,Q
46,0,0.8273772438659699,"Rogers, Mr. William John",male,,-0.47454519624983954,-0.4736736092984604,S.C./A.4. 23567,-0.4863374216869257,,S
47,0,0.8273772438659699,"Lennon, Mr. Denis",male,,0.4327933656785018,-0.4736736092984604,370371,-0.3363340021468808,,Q
48,1,0.8273772438659699,"O'Driscoll, Miss. Bridget",female,,-0.47454519624983954,-0.4736736092984604,14311,-0.49237782784290063,,Q
49,0,0.8273772438659699,"Samaan, Mr. Youssef",male,,1.340131927606843,-0.4736736092984604,2662,-0.21191774308354583,,C
50,0,0.8273772438659699,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,349237,-0.29002422161773944,,S
51,0,0.8273772438659699,"Panula, Master. Juha Niilo",male,-1.5636962982029912,3.1548090514635256,0.7676298785983874,3101295,0.1506737441786005,,S
52,0,0.8273772438659699,"Nosworthy, Mr. Richard Cater",male,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,A/4. 39886,-0.4913710934835715,,S
53,1,-1.5661069258891576,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1.3295987428505243,0.4327933656785018,-0.4736736092984604,PC 17572,0.8964967865378598,D33,C
54,1,-0.3693648410115938,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,2926,-0.12491978668775715,,S
55,0,-1.5661069258891576,"Ostby, Mr. Engelhart Cornelius",male,2.431806377537578,-0.47454519624983954,0.7676298785983874,113509,0.5995101505357573,B30,C
56,1,-1.5661069258891576,"Woolner, Mr. Hugh",male,,-0.47454519624983954,-0.4736736092984604,19947,0.06635974158478332,C52,S
57,1,-0.3693648410115938,"Rugg, Miss. Emily",female,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,C.A. 31026,-0.43700743807979686,,S
58,0,0.8273772438659699,"Novel, Mr. Mansouer",male,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,2697,-0.5028639729296732,,C
59,1,-0.3693648410115938,"West, Miss. Constance Mirium",female,-1.7014722525388728,0.4327933656785018,2.0089333664952354,C.A. 34651,-0.08968408411123653,,S
60,0,0.8273772438659699,"Goodwin, Master. William Frederick",male,-1.2881443895312277,4.0621476133918675,2.0089333664952354,CA 2144,0.2958951755118318,,S
61,0,0.8273772438659699,"Sirayanian, Mr. Orsen",male,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,2669,-0.5028639729296732,,C
