PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",-0.02406088922494811,1,0,113803,1.2206652487052312,C123,0.0,0.0,1.0
7,0,1,"McCarthy, Mr. Timothy J",1.2317435941783565,0,0,17463,1.1464894201677598,E46,1.0,0.0,1.0
11,1,3,"Sandstrom, Miss. Marguerite Rut",-2.0730050463566556,1,1,PP 9549,-0.9611530614070479,G6,0.0,0.0,1.0
12,1,1,"Bonnell, Miss. Elizabeth",1.4961234854211574,0,0,113783,-0.3707434362805108,C103,0.0,0.0,1.0
22,1,2,"Beesley, Mr. Lawrence",-0.09015586203564835,0,0,248698,-1.1829312962261531,D56,1.0,0.0,1.0
24,1,1,"Sloper, Mr. William Thompson",-0.4867256988998498,0,0,113788,0.1657201317278654,A6,1.0,0.0,1.0
55,0,1,"Ostby, Mr. Engelhart Cornelius",1.9587882950960591,0,1,113509,1.7528850602203119,B30,1.0,0.0,0.0
56,1,1,"Woolner, Mr. Hugh",-0.4867256988998498,0,0,19947,0.1657201317278654,C52,1.0,0.0,1.0
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",-0.42063072608914953,0,0,C.A. 29395,-1.3327814548877108,F33,0.0,0.0,1.0
76,0,3,"Moen, Mr. Sigurd Hansen",-0.6850106173319506,0,0,348123,-1.5036106357618866,F G73,1.0,0.0,1.0
93,0,1,"Chaffee, Mr. Herbert Fuller",0.7029838116927546,1,0,W.E.P. 5734,1.7046812611820619,E31,1.0,0.0,1.0
97,0,1,"Goldschmidt, Mr. George B",2.355358131960261,0,0,PC 17754,0.1150228260494874,A5,1.0,0.0,0.0
98,1,1,"Greenfield, Mr. William Bertram",-0.817200562953351,0,1,PC 17759,1.8355484017443735,D10 D12,1.0,0.0,0.0
111,0,1,"Porter, Mr. Walter Chamberlain",0.7690787845034548,0,0,110465,1.1547311788941457,C110,1.0,0.0,1.0
124,1,2,"Webber, Miss. Susan",-0.1892983212516987,0,0,27267,-1.1829312962261531,E101,0.0,0.0,1.0
129,1,3,"Peter, Miss. Anna",-0.4867256988998498,1,1,2668,-0.6219942003051713,F E69,0.0,0.0,0.0
137,1,1,"Newsom, Miss. Helen Monypeny",-1.081580454196152,0,2,11752,-0.3867294512065258,D47,0.0,0.0,1.0
138,0,1,"Futrelle, Mr. Jacques Heath",0.10812905639645237,1,0,113803,1.2206652487052312,C123,1.0,0.0,1.0
